id,id_owner,name_restaurant,direction,phone,type,latitude,longitude,score
id-244,user-1,Grama Lounge,"Fuencarral, 95",916 48 32 67,OTHER,40.4270218,-3.7017956,3.25
id-245,user-2,De Pura Cepa,"Fuente del Berro, 31",913 092 879,OTHER,40.424977,-3.6636998,3.25
id-246,user-3,Gato Gato,Marques de Toca,912 08 68 70,OTHER,40.4101795,-3.6961118,3.25
id-247,user-1,Tony Roma s,"Genova, 17",913 10 14 88,AMERICAN,40.4266773,-3.6934815,3.25
id-248,user-2,Pecado Carnal,"Covarrubias, 24",914 45 68 86,OTHER,40.4302446,-3.6975155,3.25
id-249,user-3,Foster s Hollywood,"Princesa, 13",915 59 19 14,OTHER,40.4256939,-3.7130802,3.25
id-250,user-1,Bo Finn,"Velazquez, 97",914 11 40 79,OTHER,40.4352264,-3.6834724,3.25
id-251,user-2,Pizza Jardin,"San Francisco de Sales, 25",915 491 053,ITALIAN,40.4417737,-3.7142206,3.25
id-252,user-3,La Nicoletta,"Paseo de la Castellana, 4",915 77 52 39,ITALIAN,40.4269232,-3.6894651,3.25
id-253,user-1,La Central de Fuencarral,"Fuencarral, 98",915 32 61 20,OTHER,40.4279202,-3.7018385,3.25
id-254,user-2,Sagasta 28 Bistro&Gourmet,"Sagasta, 28",910 82 45 07,OTHER,40.428732,-3.7006353,3.25
id-255,user-3,Taberna la Ardosa,"Colon (CALLE), 13",915 21 49 79,OTHER,40.4237686,-3.7017746,3.25
id-256,user-1,De patata madre,"Cardenal Cisneros, 1",915 465 133,OTHER,40.4295251,-3.7016046,3.25
id-257,user-2,Pez Tortilla,"Pez, 36",653 91 99 84,OTHER,40.4242997,-3.7064353,3.25
id-258,user-3,San Bernardo 115 Gastrobar,"San Bernardo, 115",910 83 65 99,OTHER,40.4326512,-3.7048769,3.25
id-259,user-1,La Esquina,Estadio Bernabeu (Concha Espina),914 43 06 75,OTHER,40.4530225,-3.687422,3.0
id-260,user-2,Asador El Molinon,"Paseo de la Florida, 17",915 47 79 36,OTHER,40.4215653,-3.7220629,3.0
id-261,user-3,Art and sushi,"Carranza, 9",910 398 883,OTHER,40.5902063,-3.9907167,3.0
id-262,user-1,Casa Mono ,"Tutor, 37",914 52 95 52,OTHER,40.4291976,-3.716649,3.0
id-263,user-2,Camino,"Gutierrez Solana, 6",914 11 24 01,OTHER,40.4505285,-3.6881337,3.0
id-264,user-3,El Mentidero de la Villa,"Almagro, 20",913 08 12 85,OTHER,40.4777245,-3.7002779,3.0
id-265,user-1,Kechua,"Fuentes, 9",911 68 58 61,OTHER,40.4029988,-3.7441641,3.0
id-266,user-2,Miss Sushi ,"Prado, 2",910 10 08 11,OTHER,41.0348735,-3.629984,3.0
id-267,user-3,Asador Extremeno,"Avenida de Valladolid, 5",659 51 51 41,OTHER,40.4258717,-3.7271287,3.0
id-268,user-1,Luos,"Andres Mellado, 5",915 49 52 11,OTHER,40.4347577,-3.7138152,3.0
id-269,user-2,"Rugantino ""Casa Tua"" ","Velazquez, 136",915 610 222,ITALIAN,40.4383333,-3.682474,3.0
id-270,user-3,Maruzzella,"Raimundo Fernandez Villaverde, 28",915 347 732,ITALIAN,40.4464414,-3.6956129,3.0
id-271,user-1,Concepto Bistro,"Calle de las Aguas, 6",917 649 502,OTHER,40.4108219,-3.7121063,3.0
id-272,user-2,Friday s,"Concha Espina, 3",912 75 99 91,AMERICAN,40.4941619,-3.8699006,3.0
id-273,user-3,Morao,"Paseo de la Castellana, 95",917 70 78 99,OTHER,40.4516331,-3.6916167,3.0
id-274,user-1,Vips,"Julian Romea, 4",912 75 21 14,OTHER,40.4427538,-3.7135343,3.0
id-275,user-2,The House of Beer,"Almansa, 105",915 33 93 93,OTHER,40.4489306,-3.7155223,3.0
id-276,user-3,Gino s,"Julian Romea, 4",912 75 21 13,ITALIAN,40.4427538,-3.7135343,3.0
id-277,user-1,Pinocchio,"Eduardo Dato, 5",915 93 99 27,ITALIAN,40.4328894,-3.6957761,3.0
id-278,user-2,La Mafia,"Goya, 5",918 11 97 26,ITALIAN,40.4608856,-3.680027,3.0
id-279,user-3,Pasta Pesto,"Guzman El Bueno, 20",915 49 76 60,ITALIAN,40.4324518,-3.7132396,3.0
id-280,user-1,Pecaditos,"San Francisco de Sales, 24",915 13 87 89,OTHER,40.4408191,-3.7149007,3.0
id-281,user-2,Tacoos,"Hermosilla,  73",No admite reservas,MEXICAN,40.4261557,-3.6787937,3.0
id-282,user-3,Keyaan's,"Blasco de Garay, 10",915 993 876,OTHER,40.4309295,-3.7116906,3.0
id-283,user-1,El Rey de las Tortillas,"Andres Mellado, 16",915 44 02 50,OTHER,40.4320278,-3.7144644,3.0
id-284,user-2,Panda Wok,"Alberto Aguilera, 36",911 88 71 19,OTHER,40.4303321,-3.7114246,3.0
id-285,user-3,La Huerta,"Alburquerque, 14",915 93 41 65,OTHER,40.4311104,-3.7009938,2.75
id-286,user-1,Bar Tomate ,"Fernando ""El Santo"", 26",917 02 38 70,OTHER,40.23232,-3.7657081,2.75
id-287,user-2,Five Guys,"Gran Via, 44",915 223 514,OTHER,40.4204463,-3.7053963,2.75
id-288,user-3,Tierra,"Guzman El Bueno, 52",918 70 99 20,MEXICAN,40.4361243,-3.7129305,2.75
id-289,user-1,Don Giovanni,"Paseo de la Reina Cristina, 23",914 34 83 38,ITALIAN,40.4075464,-3.6802863,2.5
id-290,user-2,Gracias Padre,"Ortega y Gasset, 55",910 66 00 85,MEXICAN,40.430073,-3.6756298,2.5
id-291,user-3,Alfredo s,"Lagasca, 5",915 76 62 71,OTHER,40.4213957,-3.685899,2.5
id-292,user-1,Kung Fu,"Melendez Valdes, 68",915 29 53 33,OTHER,40.4331918,-3.7170079,2.5
id-293,user-2,Jaleo s,"Galileo, 17",911 10 70 05,MEXICAN,40.2822298,-4.0097326,2.5
id-294,user-3,Bar Sierra,"Galileo, 41",678 51 24 94,OTHER,40.2822298,-4.0097326,2.5
id-295,user-1,Bergantinos,"Alberto Aguilera, 46",915 47 46 43,OTHER,40.4304127,-3.7123481,2.5
id-296,user-2,Kintaro,"Fernandez de la Hoz, 70",913 99 28 88,OTHER,40.4386931,-3.6944126,2.25
id-297,user-3,Casa Benito,"Santa Engracia, 75",914 483 624,OTHER,40.4353647,-3.6991323,2.0
id-298,user-1,Ninja Ramen,"Barcelo, 1",914 93 99 93,OTHER,40.3874309,-3.7389124,2.0
id-299,user-2,Angelita Madrid,"Reina, 4",915 21 66 78,OTHER,40.3706697,-3.6975924,1.75
id-300,user-3,The Good Burger (TGB),"San Bernardo, 105",902 19 74 94,OTHER,40.4317213,-3.7053566,1.75
id-301,user-1,El Patio del Fisgon,"Plaza de Chamberi, 2",914 109 445,OTHER,40.4329269,-3.6974298,1.75
id-302,user-2,Con Amor,"Espronceda, 34",913 95 23 15,OTHER,40.4404069,-3.6945656,1.0
id-303,user-3,Helma,"Francisco Ricci, 15",646 656 940,OTHER,40.4311226,-3.713041,0.5
id-304,user-1,Cevichevere,"Maria de Molina, 18",910 86 23 32,FUSION,40.4376633,-3.6868614,0.5
